,,Total,CNT,RNG,REG,CMP,PC,REST
fc_64_2,area,0.03522346226,0.000539494270203383,0.0005668784565209409,0.01340597093804215,0.009103069313772449,0.0020934832506703783,0.009514566061001175
fc_64_2,leakage,0.000997856,1.9669967194244607e-05,1.8377779568345326e-05,0.0005727262710791367,0.0003028026336690648,6.963455539568347e-05,1.5018091741007195e-05
fc_64_2,dynamic,0.6756192,0.01824578538641884,0.01395047692301193,0.5878044011405639,0.02312474207624881,0.029039710043299184,0.003869594876248811
fc_64_5,area,0.085111841686,0.0013570646624694463,0.0005708124667572698,0.03378436493049318,0.018524474024711825,0.005270028946153767,0.02560509661586835
fc_64_5,leakage,0.002475,5.2097222222222224e-05,1.9555555555555557e-05,0.0015245694444444447,0.0006537361111111112,0.00018486111111111112,4.0027777777777785e-05
fc_64_5,dynamic,1.5829,0.0434383507271172,0.013321951796407187,1.3942857523524377,0.05118359281437126,0.07088521385799829,0.009564087617621899
fold0,area,8.982707535979715,0.11972494484179153,0.0008087723174308944,3.0079027843852035,1.3680788486415163,0.4843247974033509,4.002577568299796
fold0,leakage,0.21718227857142866,0.004727304870019725,5.124080446075937e-05,0.1411829750067987,0.04964890468626759,0.017764486005923067,0.003631843769577684
fold0,dynamic,134.35922857142862,3.696393064340034,0.008436921713311037,119.91742228598756,3.595086947263879,6.216843434167661,0.9334954508128079
fold2,area,6.854803920371357,0.05808141097904294,0.0008996687632198306,2.918963169545741,0.6839470225191673,0.24106476981681724,2.9482537146071945
fold2,leakage,0.3785548,0.004759709871449131,0.00011353201207785825,0.29937046554482954,0.04913551368132994,0.020657970475376326,0.003790219047301897
fold2,dynamic,110.22600714285716,1.5938128204702668,-0.007472318575694772,103.57238533816911,1.435090074002187,2.591657073395136,0.21851546130328164
fold4,area,6.016227280236429,0.028428586108882912,0.0007127070371106346,2.8489503313048097,0.3427313053327109,0.11912452971498723,2.6762798211819563
fold4,leakage,0.7331381000000001,0.005164905795525539,0.0002794715256420223,0.6464008156781207,0.05429507800744694,0.022530108557495782,0.004132517771426728
fold4,dynamic,104.1472928571429,0.7831300320588731,0.0029915065971005926,100.68594376301974,0.7914054053603499,1.3126074202949252,0.1081408213791225
